!ID,,!catalog_number,!bd_catalog_number,!digital_catalog_number,!line,!post_title,!bd_audio_mix,!bd_canadian_price,!bd_configuration,!bd_consumer_srp,!bd_disc_type,!bd_dvd_features,!bd_frame_rate,!bd_isbn,!bd_prebook_date,!bd_running_time,!bd_street_date,!bd_subtitles,!bd_upc,!digital_running_time,!digital_street_date,!amazon_link,!itunes_link,!youtube_link,!hulu_link,!playstation_link,!slingbox_link,!xbox_link,!snagfilm_link,!tvcom_link,!vudu_link,!cinema_now
18030,AAAE208550,AAAE208550,AAAE168800,,A&E,The Prisoner,Dolby Digital 2.0 Stereo,109.95,Blu-ray 5-pk SET,99.95,Blu-Ray Amaray,"•Newly remixed 5.1 surround sound for all 17 episodes (in addition to the original mono tracks). •‘Don’t Knock Yourself Out’ – Feature-length documentary chronicling the production of THE PRISONER, told by those involved in its creation. •Two Brand-New Featurettes - ‘The Pink Prisoner’ and ‘You Make Sure it Fits!’  •Promo for AMC’s THE PRISONER Miniseries •Newly restored original edit of ‘Arrival’ with an optional music-only soundtrack featuring Wilfred Josephs’ complete and abandoned score. •Original edit of ‘The Chimes of Big Ben.’ •Production crew audio commentaries on seven episodes. •Trailers for all episodes. •Archive textless material, including the title sequence with clean themes by Ron Grainer, Wilfred Josephs and Robert Farnon. •Commercial break bumpers. •Image Archive with over 1200 stills. •Production Paperwork Archive, featuring scripts, call sheets and press releases (DVD-ROM Feature)",24,1-4229-4901-X,09/29/2009,14h 44m + extras,10/27/2009,English,7-33961-16880-8,,,,,,,,,,,,,
3166,AAAE208561,AAAE208561,AAAE212922,,THC,Clash of the Gods,Dolby Digital 2.0 Stereo,44.95,Blu-ray Single,39.95,Blu-Ray Swing Amaray,,24,1-4229-7653-X,02/16/2010,7h 50m,03/16/2010,English,7-33961-21292-1,,,,,,,,,,,,,
6074,AAAE209300,AAAE209300,AAAE209310,,THC,The Universe: The Complete Season 4,Dolby Digital 2.0 Stereo,69.95,Blu-ray 4-pk SET,54.95,Triple Swing Amaray,,24,1-4229-7192-9,01/26/2010,,02/23/2010,,7-33961-20931-0,,,,,,,,,,,,,
542,AAAE209330,AAAE209330,AAAE209340,,THC,WWII in HD,Dolby Digital 5.1,44.95,Blu-ray 2-pk SET,39.95,Swing Amaray,"Profiles; Behind-the-Scenes Featurettes - Finding the Footage, Preserving the Footage",24,1-4229-7195-3,12/15/2009,7h 35m + extras,01/26/2010,,7-33961-20934-1,,,,,,,,,,,,,
13423,AAAE218410,AAAE218410,AAAE238210,,THC,How the Earth Was Made: The Complete Season 2,Dolby Digital 2.0 Stereo,56.95,Blu-ray 3-pk SET,49.95,Triple Swing BD,,24,1-4229-1136-5,01/25/2011,10h 11m,02/22/2011,English,7-33961-23821-1,,,,,,,,,,,,,
10852,AAAE219241,AAAE219241,AAAE223040,,THC,America: The Story of Us,Dolby Digital 5.1,56.95,Blu-ray 3-pk SET,49.95,Triple Swing Blu-ray Amaray,,24,1-4229-8608-X,07/13/2010,9h 12m + extras,08/10/2010,,7-33961-22304-0,,,,,,,,,,,,,
14338,AAAE221620,AAAE221620,AAAE223230,,THC,Life After People: The Complete Season 2,Dolby Digital 2.0 Stereo,44.95,Blu-ray 2-pk SET,39.95,Blu-Ray Swing Amaray,,24,1-4229-8630-6,06/29/2010,7h 50m,07/27/2010,English,7-33961-22323-1,,,,,,,,,,,,,
19206,AAAE221630,AAAE221630,AAAE228722,,THC,Ancient Aliens: The Complete Season 1,Dolby Digital 2.0 Stereo,44.95,Blu-ray 3-pk SET,39.95,Triple Swing Blu-ray Amaray,"HISTORY Special - Ancient Aliens:  Chariots, Gods and Beyond",24,1-4229-9206-3,10/26/2010,7h 50m + extras,11/23/2010,English,7-33961-22872-4,,,,,,,,,,,,,
21612,AAAE224400,AAAE224400,AAAE224410,,THC,Ice Road Truckers: The Complete Season 4,Dolby Digital 2.0 Stereo,56.95,Blu-ray 4-pk SET,49.95,Quad Swing Amaray,Additional Footage,24,1-4229-8751-5,01/25/2011,12h + extras,02/22/2011,English,7-33961-22441-2,,,,,,,,,,,,,
19202,AAAE230710,AAAE230710,AAAE230720,,THC,Gangland: Season 6,Dolby Digital 2.0 Stereo,52.95,Blu-ray 3-pk SET,44.95,Triple Swing Blu-ray Amaray,Additional Footage,24,1-4229-9436-8,10/26/2010,8h 37m + extras,11/16/2010,English,7-33961-23072-7,,,,,,,,,,,,,
